Dataset,DcBench,SNR,M,K_nn,The number of samples,The number of misclassifed samples
id_1,p_72799,0.15,10,7,6088,572
id_2,p_122144,0.22,10,7,6103,1076
id_3,p_121880,0.38,10,7,5969,1259
id_4,p_122653,0.47,10,7,6019,1088
id_5,p_118660,0.47,10,8,5994,1019
id_6,p_122145,0.69,10,11,6135,1141
id_7,p_121753,0.96,10,10,6138,1612
id_8,p_122406,1.17,10,16,6072,937
id_9,p_118049,1.38,10,12,5979,1051
id_10,p_122150,1.39,10,10,6107,1304
id_11,p_121948,1.75,10,15,6027,1438
id_12,p_122417,1.85,10,19,6035,1096
id_13,p_122313,1.91,10,15,6048,1011
id_14,p_121977,2.19,10,17,6117,1153
id_15,p_121854,3.78,10,24,6017,1554
